"","Units","scenario","region","sector","subsector","PrimaryFuelCO2Coef.name","year","value","PrimaryFuelCO2Coef","fuel"
"155","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2025,2.15493e-06,0,"elect_td_ind"
"156","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2030,1.02055e-05,0,"elect_td_ind"
"157","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2035,3.58752e-05,0,"elect_td_ind"
"158","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2040,9.69424e-05,0,"elect_td_ind"
"159","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2045,0.00018703,0,"elect_td_ind"
"160","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2050,0.000323947,0,"elect_td_ind"
"161","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2055,0.000429837,0,"elect_td_ind"
"162","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2060,0.000502934,0,"elect_td_ind"
"163","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2065,0.000531846,0,"elect_td_ind"
"164","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2070,0.000611477,0,"elect_td_ind"
"165","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2075,0.000677693,0,"elect_td_ind"
"166","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2080,0.000721949,0,"elect_td_ind"
"167","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2085,0.000737415,0,"elect_td_ind"
"168","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2090,0.000730649,0,"elect_td_ind"
"169","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2095,0.000718408,0,"elect_td_ind"
"170","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2100,0.000711837,0,"elect_td_ind"
"171","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","gas","regional natural gas",2020,0.000107077,14.2,"natural gas"
"172","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","gas","regional natural gas",2025,0.0002375969,14.2,"natural gas"
"173","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","gas","regional natural gas",2030,0.0009229043,14.2,"natural gas"
"174","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","gas","regional natural gas",2035,0.0023679964,14.2,"natural gas"
"175","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","gas","regional natural gas",2040,0.0037572193,14.2,"natural gas"
