"","scenario","region","direct","transformation","enduse","year","value","ghg","Units"
"116","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2090,-1.000798e-07,"CO2","MTCO2e"
"117","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2090,-4.103702e-06,"CO2","MTCO2e"
"118","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2095,-0.0001301245,"CO2","MTCO2e"
"119","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2095,-2.652246e-05,"CO2","MTCO2e"
"120","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2095,-3.888623e-05,"CO2","MTCO2e"
"121","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2095,-0.0428336,"CO2","MTCO2e"
"122","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2095,-0.0198964,"CO2","MTCO2e"
"123","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2095,-0.0006566703,"CO2","MTCO2e"
"124","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2095,-1.33922e-06,"CO2","MTCO2e"
"125","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2095,-5.954182e-05,"CO2","MTCO2e"
"126","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2100,-0.0001692353,"CO2","MTCO2e"
"127","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2100,-3.094963e-05,"CO2","MTCO2e"
"128","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2100,-4.232133e-05,"CO2","MTCO2e"
